image,title,year,rating,description,genres
1.jpg,Death of a Unicorn,2025.0,5.9,"In the endless expanses, where the horizon merges with the haze, young Ridley goes on a weekend with her father Eliot, whose obsession with work has long since built a wall between them. Their path is interrupted suddenly: the car crashes into a creature whose existence was considered fiction - a unicorn with a shining horn. This is not just a coincidence, but a twist of fate that promises to heal their disunity. However, the hope for reconciliation fades when the family of tycoons under whose leadership Elliot works, having sniffed about the magical gifts of the beast, decides to profit from its blood and bones. The thirst for profit ignites chaos: greedy dealers, blinded by wealth, do not suspect that they have awakened an ancient power. The fallen creature's parents, majestic and merciless, embark on a path of retribution. Their fangs are sharp, and their rage knows no bounds - they bring punishment to those who dare to defile their family.","['comedy', 'fantasy', 'horror']"
2.jpg,Bono. The way to reconciliation,2025.0,7.3,"The documentary immerses the viewer in the personal and creative world of the legendary Irish musician Bono. In the center of the plot is his exciting solo performance, which took place in 2023 on the stage of the Beacon Theater in New York. This chamber show, full of music, sincere confessions and vivid stories from the artist's life, was created as a supplement to his autobiographical book, which was published a year earlier. The evening turned into an emotional journey through the years, where every song and every word revealed new facets of the artist's personality. The project does not just document the performance - it reveals intimate moments from Bono's life, showing the audience deep thoughts about family, friendship, faith and the path he followed as a person and an artist. The film uses exclusive footage of the performance that has not been shown publicly before, which gives the tape a special value for fans. Bono candidly shares his experiences, revealing the unique atmosphere of the evening, where music, memories and words intertwine into a sincere and deeply personal narrative.",['documentary']
3.jpg,Pianist,2002.0,8.5,"New rules and new orders of the Nazi regime will no longer allow Vladko to touch the piano keys, now he is an outcast along with his family. Soon he will be resettled in the ghetto, where Vladko will again have to adapt to unusual conditions and survive. He is forced to work and wear a shameful bandage, which informs everyone that he is a Jew. Surviving in the ghetto will not be easy, and Vladko will soon be convinced of this. But these are not all the problems that catch up with the pianist, by order of the Nazis all Jews are transported to a concentration camp, but he was lucky, an old friend saves him from death. He hides Vladek in his apartment. But even while there, he realizes that it is not safe, so he looks for other ways to hide from the Nazis. In his heart, Vladko hopes that one day the Nazis will leave Poland and he will return to his favorite music. Well, for now he is forced to live in fear and constantly hide from searches in order to survive.","['biography', 'drama', 'music', 'war']"
4.jpg,Highlander 4: Endgame,2000.0,4.6,"Brothers Duncan and Connor McLeod managed to pass through time space and find themselves in the modern world. Now the two powerful and immortal warriors will have to come face to face with an equally powerful enemy, Jacob Kelly, who is the strongest and most dangerous among the rest of the warriors at this time. The rules that have been in place for thousands of years have now been broken. As a result of the bloody battle, only one immortal should remain alive, the one who will be worthy to bear the name of the Highlander. Connor has long since lost all interest in life and is now trying to convince his brother to accept his sacrifice in order to find the extra strength he will need during the decisive battle with Kelly. The movie ""Highlander 4: Endgame"" (2000) will be enjoyed by all fans of science fiction and fantasy in Ukrainian live.","['adventure', 'fantasy']"
5.jpg,Harry Potter and the Chamber of Secrets,2002.0,7.4,"In the second part of the popular story about a boy wizard, the events take place at Hogwarts School of Magic. In the second year, Harry Potter cannot avoid meeting an elf named Dobby. He seriously tells the young man about the danger that awaits him in the training institution for young wizards. The fairy-tale character strongly recommends leaving the school of magic once and for all. However, the curiosity of the young sorcerer can be envied. He and his new friends get into incredible adventures. They are destined to see the Secret Room and learn the secret that has been kept in it for a long time. You can't avoid meeting the forces of evil, because the one who shouldn't be talked about still hopes to destroy the boys once and for all. The movie ""Harry Potter and the Chamber of Secrets"" (2002) will be enjoyed by all fans of really high-quality fantasy.","['adventure', 'detective', 'family', 'fantasy']"
6.jpg,Harry Potter and the Goblet of Fire,2005.0,7.7,"In the fourth part of the legendary story about a young teenage wizard, events unfold again at Hogwarts School of Magic. Harry Potter and his friends were lucky enough to enter the fourth year of study. They had a good summer vacation and are ready for new discoveries and exploits. Ron and Hermione will have to become active fans for their friend in the Triwizard competition. In difficult competitions, participants will have to go through fire and water, as well as magic and sorcery. Only the best wizard will take possession of the cup. Meanwhile, Lord Voldemort returns. He intends to intervene in the course of the competition and once again eliminate his old enemy. The young wizard has to seriously fight for victory and for his life. The movie ""Harry Potter and the Goblet of Fire"" (2005) will be enjoyed by all fans of fantasy about wizards from Hogwarts.","['adventure', 'detective', 'family', 'fantasy']"
7.jpg,Deaf - to the president!,2025.0,8.1,"In the center of this deeply moving story are the real events that happened in 1988 at the only university for the deaf in the world - Gallodetskyi. When the board of trustees elected a new president, ignoring qualified hearing-impaired candidates, students and the university community erupted in outrage. They expected that this time their position would finally be taken into account — among the applicants for the position were deaf professionals capable of leading the institution with dignity. However, a sympathetic leader was elected, which finally pushed the youth to mass resistance. For eight days, the activists did not stop their struggle - they protested, blocked the work of the institution, appeared in front of the media and demanded justice at every step. Their determination and solidarity impressed the whole country. Through persistence and indomitable spirit, the students managed to get the president to resign and get a deaf leader appointed for the first time in history.",['documentary']
8.jpg,Insomnia,2002.0,7.2,"Two police officers from sunny Los Angeles fly to rugged Alaska to investigate the murder of a young girl who was beaten to death. Almost the entire Alaska police department is leaning towards the fact that she was killed by a classmate whom she rejected. But the experienced detective Dormer understands that everything in this case is not as simple as it seems at first glance. Dormer sets up an ambush for the killer, but in the fog, due to a silly mistake, kills his partner Eckhart. Dormer decides to hide his involvement in this murder. But the girl's killer saw everything and knows about Dormer's guilt. Now the elusive criminal calls the detective and blackmails him. All this literally drives Dormer crazy and he is ready for literally anything to make this nightmare end sooner. The film ""Insomnia"" (2002) will be enjoyed by all fans of crime thrillers and dramas.","['crime', 'detective', 'drama', 'thriller']"
9.jpg,On the edge / Fanatic,2025.0,5.4,"A security guard ensures the safety of a pop star and her sports partner, who become victims of a persistent stalker in the noisy and bright Los Angeles of the 90s. The main characters find themselves in a difficult situation when their ordinary life is disrupted by a threat from a person who has decided to keep up with them. In an effort to protect his wards, the security guard uses all his skills and experience to cope with this dangerous challenge. Against the background of the glamorous world of show business and sports achievements, an intense game of cat and mouse unfolds. Throughout the plot, the guard must not only fend off the attacker's attacks, but also deal with the internal conflicts and emotions that arise in his wards. Tense moments alternate with personal experiences, creating a complex and multi-layered story about devotion, love and the fight against danger. Each step becomes decisive, and the heroes understand that not only their lives are at stake, but also the feelings they feel for each other.","['comedy', 'horror', 'thriller']"
10.jpg,Perfumer: the story of one killer,2006.0,7.5,"Jean-Baptiste Grenouille had never felt true love before. He found his calling by becoming a perfumer. The boy grew up an orphan and therefore was deprived of female attention. And now he creates unique spirits that captivate the entire higher world. However, there are pitfalls in this story. It turns out that Grenouille will collect his last fragrance in a rather creepy way. The film ""Perfumer: The Story of a Murderer"" (2006) will be enjoyed by all fans of criminal fantasy in Ukrainian live.","['crime', 'drama', 'fantasy']"
